day,realized_pnl,expected_pnl,cumulative_realized_pnl,cumulative_expected_pnl,rolling_14d_realized_avg,rolling_14d_expected_avg
2025-04-12,37775.20005532464,25898.41637086043,786652.1739906132,661881.8423273377,17376.349140047158,11359.125024089417
2025-04-13,32625.125808822384,19226.654535019272,819277.2997994355,681108.496862357,17746.78693648189,11570.894774521714
2025-04-14,14149.999999999998,4387.988010284609,833427.2997994355,685496.4848726416,18537.548401185486,11642.12563939333
2025-04-16,12118.467558311393,6513.635407239772,845545.767357747,692010.1202798814,19734.302048690188,12642.62257870265
2025-04-17,11443.880270309477,1386.990048490678,856989.6476280565,693397.1103283721,20367.095939026472,12780.790298218286
2025-04-18,5808.609976973972,10958.115238417824,862798.2576050304,704355.22556679,16112.956936723876,9400.125436634402
2025-04-19,21471.36372657176,23977.231816641703,884269.6213316022,728332.4573834317,14347.330805959678,10742.218160253116
2025-04-20,51768.09000413561,57884.03945453068,936037.7113357378,786216.4968379624,18377.150653344,15675.07788444437
2025-04-22,-1834.5878402072237,3.499457233055807,934203.1234955306,786219.9962951954,19202.6149560242,15491.95171626323
2025-04-23,14267.981413185335,5053.783068123857,948471.1049087159,791273.7793633193,18754.011906675212,14543.027293705103
2025-04-24,7450.0,3067.2145743779693,955921.1049087159,794340.9939376973,17812.01091445228,13586.709567094507
2025-04-25,13850.0,7211.368857905428,969771.1049087159,801552.3627956026,18407.84424778561,13797.41140326044
2025-04-26,13600.39991489478,6678.512557131113,983371.5048236108,808230.8753527338,16393.277569416456,12195.75275211633
2025-04-27,9208.91458345576,19974.068256858547,992580.4194070665,828204.9436095923,14441.92663396924,12258.03722893627
2025-04-28,-2896.412114250264,1484.066382982905,989684.0072928163,829689.0099925752,13021.392291115051,12016.043759994462
2025-05-02,6450.0,4047.2050345206953,996134.0072928163,833736.2150270959,13333.574968778576,12938.098946030594
2025-05-03,2185.487213950266,16961.156032472205,998319.4945067666,850697.371059568,11404.987317516427,12236.491367613646
2025-05-04,22461.778200294735,16375.621998857629,1020781.2727070613,867072.9930584256,8474.35613713234,8085.6496220463405
2025-05-05,18843.36643386572,3227.8246104753616,1039624.639140927,870300.8176689009,9416.993436835373,7644.029166448979
2025-05-08,-10300.0,557.5873134383538,1029324.639140927,870858.4049823392,8155.948248023446,8501.934560515803
2025-05-09,-7650.0,1617.0047900240697,1021674.639140927,872475.4097723633,5767.059359134557,7880.3385529734305
2025-05-10,-4135.59688613236,30310.163202781736,1017539.0422547946,902785.572975145,3796.3930479093187,10506.077513601278
2025-05-11,45364.255633955196,33629.19480097051,1062903.2978887497,936414.7677761154,7813.653164631479,12023.313796280385
