strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,full_kelly_fraction,bet_fraction,raw_stake_before_cap,stake,fee,net_pnl,bankroll_after,drawdown,hit_bet_cap
kelly_50,63,2024-12-27 19:30:00,12409755,1X2,away,3.6,0.0,3612.9401516027337,0.01227881957435617,0.006139409787178085,22.181320127238497,22.181320127238497,0.6654396038171548,-22.846759731055652,4578.029201757291,-0.004965741289766211,False
kelly_50,64,2024-12-27 20:15:00,12409767,OU,under,2.0,1.0,4578.029201757291,0.031272962270639804,0.015636481135319902,71.58426725022152,71.58426725022152,2.1475280175066453,69.43673923271487,4647.465940990006,0.0,False
kelly_50,65,2024-12-27 20:15:00,12409767,HC,home,1.78,1.0,4578.029201757291,0.9689041877349399,0.48445209386746996,2217.8358325777417,2217.8358325777417,66.53507497733224,1663.3768744333063,6310.8428154233125,0.0,False
kelly_50,66,2024-12-28 14:00:00,12623791,HC,home,1.82,1.0,6310.8428154233125,0.10320287742073857,0.051601438710369284,325.6485687508404,325.6485687508404,9.769457062525213,257.26236931316396,6568.105184736476,0.0,False
kelly_50,67,2024-12-28 14:00:00,12623743,OU,under,2.05,0.0,6310.8428154233125,0.051971384190105,0.0259856920950525,163.99161826186443,163.99161826186443,4.919748547855932,-168.91136680972036,6399.193817926756,-0.02571690952852741,False
kelly_50,68,2024-12-28 17:00:00,12623855,HC,away,1.88,1.0,6399.193817926756,0.8044447003074388,0.4022223501537194,2573.8987765356524,2573.8987765356524,77.21696329606957,2187.8139600553045,8587.00777798206,0.0,False
kelly_50,69,2024-12-28 19:45:00,12623891,1X2,away,2.05,1.0,8587.00777798206,0.030388287710615684,0.015194143855307842,130.47223146530678,130.47223146530678,3.914166943959203,133.0816760946129,8720.089454076673,0.0,False
kelly_50,70,2024-12-29 14:30:00,12409724,OU,under,2.0,1.0,8720.089454076673,0.03923891709555116,0.01961945854777558,171.08343357715228,171.08343357715228,5.132503007314568,165.9509305698377,8886.04038464651,0.0,False
kelly_50,71,2024-12-29 14:30:00,12409724,HC,away,1.8,1.0,8720.089454076673,0.9390490017799152,0.4695245008899576,4094.295648641133,4094.295648641133,122.82886945923399,3152.607649453673,12038.648034100184,0.0,False
kelly_50,72,2024-12-29 15:00:00,12409774,HC,home,1.86,0.0,12038.648034100184,0.1264395116016036,0.0632197558008018,761.0803888876163,761.0803888876163,22.832411666628488,-783.9128005542448,11254.73523354594,-0.06511634847482581,False
kelly_50,73,2024-12-29 15:00:00,12409756,HC,home,1.96,1.0,12038.648034100184,0.14045725793179015,0.07022862896589507,845.457746037824,845.457746037824,25.363732381134717,786.2757038151763,12041.010937361116,0.0,False
kelly_50,74,2024-12-29 15:00:00,12409761,1X2,draw,8.5,0.0,12038.648034100184,0.004179698163890026,0.002089849081945013,25.158957541923403,25.158957541923403,0.7547687262577021,-25.913726268181104,12015.097211092934,-0.0021521221434801525,False
kelly_50,75,2024-12-29 15:00:00,12409774,1X2,home,1.86,0.0,12038.648034100184,0.03523423269976592,0.01761711634988296,212.08626311203273,212.08626311203273,6.362587893360981,-218.4488510053937,11796.648360087542,-0.020294191122720472,False
kelly_50,76,2024-12-29 17:00:00,12623688,1X2,away,2.67,0.0,11796.648360087542,0.01906376040485838,0.00953188020242919,112.4442389585372,112.4442389585372,3.373327168756116,-115.81756612729332,11680.83079396025,-0.029912782678677894,False
kelly_50,77,2024-12-29 19:45:00,12623964,HC,home,1.92,1.0,11680.83079396025,0.3340529133214085,0.16702645666070426,1951.0077783684212,1951.0077783684212,58.53023335105264,1736.3969227478947,13417.227716708145,0.0,False
kelly_50,78,2024-12-29 20:00:00,12449894,HC,home,1.99,0.0,13417.227716708145,0.35184861810519624,0.17592430905259812,2360.416515463249,2360.416515463249,70.81249546389748,-2431.2290109271466,10985.998705780998,-0.1812020383241761,False
kelly_50,79,2024-12-29 20:00:00,12449894,OU,under,10.0,1.0,13417.227716708145,0.47387330778646647,0.23693665389323323,3179.033039720374,3179.033039720374,95.37099119161121,28515.92636629175,39501.92507207275,0.0,False
kelly_50,80,2024-12-29 20:00:00,12449894,OU,over,10.0,0.0,13417.227716708145,0.41501558110242254,0.20750779055121127,2784.1792788165803,2784.1792788165803,83.52537836449741,-2867.704657181078,36634.22041489167,-0.07259657983626984,False
kelly_50,81,2024-12-30 17:30:00,12623763,1X2,draw,8.5,1.0,36634.22041489167,0.004310890742710338,0.002155445371355169,78.9630608264833,78.9630608264833,2.368891824794499,589.8540643738303,37224.0744792655,-0.05766429328826947,False
kelly_50,82,2024-12-30 19:45:00,12409723,1X2,away,3.05,0.0,37224.0744792655,0.01556687824812412,0.00778343912406206,289.73131765891515,289.73131765891515,8.691939529767454,-298.4232571886826,36925.65122207682,-0.06521894427411884,False
kelly_50,83,2024-12-30 20:00:00,12409630,HC,home,1.95,0.0,36925.65122207682,0.14571251123333936,0.07285625561666968,2690.26468424762,2690.26468424762,80.7079405274286,-2770.9726247750486,34154.67859730177,-0.13536673124195162,False
kelly_50,84,2025-01-01 12:30:00,12449936,HC,away,1.85,1.0,34154.67859730177,0.043230296279127355,0.021615148139563677,738.2584375398627,738.2584375398627,22.14775312619588,605.3719187826875,34760.050516084455,-0.12004160676565931,False
kelly_50,85,2025-01-01 12:30:00,12450244,1X2,home,1.94,0.0,34154.67859730177,0.03489657488293686,0.01744828744146843,595.9406496366911,595.9406496366911,17.878219489100733,-613.8188691257918,34146.231646958666,-0.1355805676645485,False
kelly_50,86,2025-01-01 12:30:00,12450244,HC,home,1.94,0.0,34154.67859730177,0.23300611464135423,0.11650305732067712,3979.124478390752,3979.124478390752,119.37373435172255,-4098.498212742475,30047.73343421619,-0.2393349595141764,False
kelly_50,87,2025-01-01 13:00:00,12449898,HC,home,1.85,1.0,30047.73343421619,0.7346183557043416,0.3673091778521708,11036.808264043133,5000.0,150.0,4100.0,34147.73343421619,-0.13554254958682732,True
kelly_50,88,2025-01-01 17:30:00,12449944,1X2,away,2.06,1.0,34147.73343421619,0.030596854029551823,0.015298427014775911,522.4066076633796,522.4066076633796,15.672198229901388,538.0788058932811,34685.81224010947,-0.12192096519792638,False
kelly_50,89,2025-01-01 20:00:00,12449888,HC,home,1.75,0.0,34685.81224010947,0.26390395195376176,0.13195197597688088,4576.861463445526,4576.861463445526,137.30584390336577,-4714.167307348892,29971.64493276058,-0.24126115681511254,False
kelly_50,90,2025-01-04 12:30:00,12449832,HC,home,1.9,1.0,29971.64493276058,0.7415130324017609,0.37075651620088046,11112.182660080085,5000.0,150.0,4350.0,34321.64493276058,-0.13113994140438862,True
kelly_50,91,2025-01-04 12:30:00,12409707,OU,under,2.0,0.0,29971.64493276058,0.055734947523958356,0.027867473761979178,835.2340287670617,835.2340287670617,25.05702086301185,-860.2910496300735,33461.353883130505,-0.15291840025317743,False
