strategy,bet_no,date_time,match_id,odds_type,side,odds,won,bankroll_before,stake,fee,net_pnl,cumulative_pnl,bankroll_after,full_kelly_fraction,target_fraction,drawdown
kelly_100,58,2024-12-21 17:30:00,12623537,HC,home,1.75,1.0,1.905743535061398,1.0471735498544013,0.015707603247816,0.7696725591429849,1.6754160942043832,2.675416094204383,0.8548338936547134,0.8548338936547134,-0.2613301408839302
kelly_100,59,2024-12-21 17:30:00,12409638,HC,away,1.82,1.0,1.905743535061398,0.7772729578508105,0.0116590943677621,0.6257047310699025,2.3011208252742854,3.3011208252742854,0.6345073069163253,0.6345073069163253,-0.0885759937630843
kelly_100,60,2024-12-21 17:30:00,12623537,1X2,away,5.6,0.0,1.905743535061398,0.0133569914977159,0.0002003548724657,-0.0135573463701817,2.2875634789041035,3.2875634789041035,0.0109036453901008,0.0109036453901008,-0.0923191136295393
kelly_100,61,2024-12-21 17:30:00,12412100,1X2,home,2.8,0.0,1.905743535061398,0.0397763382959867,0.0005966450744398,-0.0403729833704265,2.247190495533677,3.247190495533677,0.0324704172919695,0.0324704172919695,-0.1034659053390349
kelly_100,62,2024-12-21 19:45:00,12623889,1X2,draw,7.7,1.0,3.247190495533677,0.0220379447856773,0.0003305691717851,0.1473236608922529,2.39451415642593,3.39451415642593,0.0067867730014574,0.0067867730014574,-0.062790532236704
kelly_100,63,2024-12-21 19:45:00,12623889,HC,away,1.7,1.0,3.247190495533677,0.8402237443792004,0.012603356165688,0.5755532648997523,2.970067421325682,3.970067421325682,0.2587540661796342,0.2587540661796342,0.0
kelly_100,64,2024-12-21 19:45:00,12623889,1X2,home,3.15,0.0,3.247190495533677,0.0572597368782429,0.0008588960531736,-0.0581186329314166,2.9119487883942656,3.9119487883942656,0.0176336241920516,0.0176336241920516,-0.0146392055256355
kelly_100,65,2024-12-22 11:30:00,12623982,1X2,away,3.9,0.0,3.9119487883942656,0.0798052779452752,0.0011970791691791,-0.0810023571144543,2.8309464312798114,3.8309464312798114,0.0204003892336312,0.0204003892336312,-0.0350424754246152
kelly_100,66,2024-12-22 13:00:00,12412093,1X2,away,3.65,0.0,3.8309464312798114,0.0738156202553699,0.0011072343038305,-0.0749228545592005,2.7560235767206103,3.7560235767206103,0.0192682465232776,0.0192682465232776,-0.0539144104846456
kelly_100,67,2024-12-22 13:00:00,12412093,HC,home,1.85,1.0,3.8309464312798114,1.1522994185546198,0.0172844912783192,0.9621700144931076,3.7181935912137183,4.718193591213718,0.3007871394770897,0.3007871394770897,0.0
kelly_100,68,2024-12-22 14:00:00,12409798,1X2,home,2.02,1.0,4.718193591213718,0.2340558301089721,0.0035108374516345,0.235226109259517,3.953419700473235,4.953419700473235,0.0496070849116564,0.0496070849116564,0.0
